Geneid,EC1,EC1yuan,EC2,EC2yuan,EC3,EC3yuan
ENSG00000233542,0,1,2,0,0,1
ENSG00000187730,9,1,0,7,7,0
ENSG00000226969,0,0,0,0,0,2
ENSG00000067606,993,831,1032,727,1139,689
ENSG00000271806,10,11,3,13,12,7
ENSG00000182873,64,41,61,30,73,47
ENSG00000162585,1247,1146,1412,1061,1460,909
ENSG00000234396,0,0,0,1,1,0
ENSG00000157933,2236,3104,2017,3088,2515,2811
ENSG00000287356,36,7,45,3,33,7
ENSG00000116151,228,100,231,125,255,78
ENSG00000272161,0,2,2,0,0,0
ENSG00000269896,80,12,81,14,91,10
ENSG00000272420,7,0,9,0,3,2
ENSG00000157916,1806,2525,1692,2502,1919,2352
ENSG00000157911,493,303,463,221,480,227
ENSG00000149527,1,0,0,0,0,0
ENSG00000224387,0,0,0,0,0,0
ENSG00000229393,0,0,0,0,0,0
ENSG00000157881,21,47,31,31,34,24
ENSG00000197921,0,0,0,0,0,0
ENSG00000272449,0,0,0,0,0,0
ENSG00000238164,0,0,0,0,0,0
ENSG00000157873,0,0,2,0,1,1
ENSG00000225931,0,0,0,0,0,0
ENSG00000228037,0,0,0,0,0,0
ENSG00000157870,28,16,36,16,25,16
ENSG00000142606,0,0,0,0,0,0
ENSG00000237058,0,0,0,0,0,0
ENSG00000215912,8,1,10,3,6,3
ENSG00000285945,0,0,0,0,0,0
ENSG00000283259,0,0,0,0,0,0
ENSG00000233234,0,0,0,0,0,0
ENSG00000287396,0,0,0,0,0,0
ENSG00000231630,0,0,0,0,0,0
ENSG00000284745,0,0,0,0,0,0
ENSG00000169717,0,0,0,0,0,0
ENSG00000177133,0,0,0,0,1,0
ENSG00000142611,19,1,24,1,13,0
ENSG00000283572,0,0,0,0,0,0
ENSG00000226286,0,0,0,0,0,0
ENSG00000279839,0,0,0,0,0,0
ENSG00000272235,0,1,0,0,0,0
ENSG00000287828,0,0,0,0,0,0
ENSG00000286518,0,0,0,0,0,0
ENSG00000130762,1017,765,1126,698,1155,584
ENSG00000272088,2,0,0,0,0,0
ENSG00000162591,406,8,380,2,493,7
ENSG00000207776,0,0,0,0,0,0
ENSG00000238260,14,2,19,3,17,1
ENSG00000158109,1150,824,1116,805,1299,695
ENSG00000116213,896,1050,846,1063,907,955
ENSG00000078900,336,658,337,497,357,510
ENSG00000227589,0,0,1,1,4,4
ENSG00000235131,0,4,1,3,4,2
ENSG00000227372,805,552,789,588,844,501
ENSG00000276189,0,0,0,0,0,0
ENSG00000162592,2,3,0,0,6,0
ENSG00000235169,113,4,106,9,138,9
ENSG00000130764,1127,1377,1103,1396,1202,1235
ENSG00000266075,9,0,1,0,9,1
ENSG00000272153,14,17,18,5,9,13
ENSG00000116198,1558,1158,1681,1093,1691,1142
ENSG00000169598,184,227,177,226,230,198
ENSG00000198912,590,697,562,742,567,635
ENSG00000236423,30,24,18,29,22,25
ENSG00000233304,1,0,1,0,0,0
ENSG00000226374,1,0,0,0,0,0
ENSG00000284668,0,0,0,0,0,0
ENSG00000284703,0,0,0,0,0,0
ENSG00000229280,0,0,0,0,0,0
ENSG00000235054,0,0,0,0,0,0
ENSG00000284694,0,0,0,0,0,0
ENSG00000227169,0,0,0,0,0,0
ENSG00000232596,0,0,0,0,0,0
ENSG00000196581,0,0,0,0,0,0
ENSG00000287586,0,0,0,0,0,0
ENSG00000284739,0,0,0,0,0,0
ENSG00000284674,0,0,0,0,0,0
ENSG00000231510,0,0,0,0,0,0
ENSG00000284616,1,0,0,0,0,0
ENSG00000284692,0,0,0,0,0,0
ENSG00000284666,0,0,0,0,0,0
ENSG00000260972,0,0,0,0,0,0
ENSG00000283356,0,0,0,0,0,0
ENSG00000236948,0,0,0,0,0,0
ENSG00000264341,0,0,0,0,0,0
ENSG00000264101,0,0,0,0,0,0
ENSG00000131697,620,498,627,414,762,411
ENSG00000069424,798,370,847,348,907,314
ENSG00000116254,201,14,202,26,184,17
ENSG00000285629,0,0,0,0,0,0
ENSG00000116251,1772,940,1782,1198,1918,1058
ENSG00000226944,6,0,8,1,21,2
ENSG00000158286,1026,536,954,480,1231,452
ENSG00000116237,2770,3606,2441,3917,2721,3813
ENSG00000225077,32,25,26,16,22,29
ENSG00000173673,0,0,1,1,0,0
ENSG00000158292,1428,121,1410,97,1590,91
ENSG00000097021,1920,4094,2044,4068,2143,3718
ENSG00000271746,2,0,3,0,4,0
ENSG00000069812,49,6,75,5,70,0
ENSG00000187017,7,2,9,0,9,0
ENSG00000265392,0,0,0,0,0,0
ENSG00000231868,0,0,0,0,0,0
ENSG00000215788,528,557,497,399,658,406
ENSG00000171680,1353,1080,1460,876,1625,865
ENSG00000162408,627,1625,547,1649,643,1540
ENSG00000253022,2,1,0,0,1,0
ENSG00000229519,15,26,18,22,12,17
ENSG00000173662,0,1,1,1,4,0
ENSG00000204859,464,564,485,492,485,477
ENSG00000162413,854,1302,808,1325,864,1212
ENSG00000116273,1189,1037,1246,887,1294,908
ENSG00000041988,222,334,276,317,306,241
ENSG00000007923,734,1378,706,1339,735,1244
ENSG00000228750,0,0,0,0,0,3
ENSG00000284744,0,0,0,0,0,0
ENSG00000237436,7,8,15,9,12,7
ENSG00000171735,969,702,835,757,952,682
ENSG00000227950,0,1,0,0,0,0
ENSG00000237365,0,0,0,0,0,0
ENSG00000207056,0,0,0,0,0,0
ENSG00000237402,0,0,0,0,0,1
ENSG00000237728,0,0,0,0,0,0
ENSG00000225126,0,0,0,0,0,1
ENSG00000270171,10,0,5,0,13,1
ENSG00000270035,8,2,11,2,5,0
ENSG00000269978,19,5,30,3,33,3
ENSG00000049245,2684,2072,2259,2483,2476,2219
ENSG00000269925,27,26,12,29,16,28
ENSG00000049246,513,391,476,414,463,313
ENSG00000236266,9,8,6,5,10,4
ENSG00000049247,0,0,0,0,0,0
ENSG00000049249,4,0,5,0,1,2
ENSG00000270330,0,0,0,0,0,0
ENSG00000116288,2394,3824,2508,3725,2698,3335
ENSG00000200344,1,3,0,0,0,4
ENSG00000284747,15,23,14,19,18,17
ENSG00000284716,0,1,0,2,0,0
ENSG00000116285,11462,7277,10620,8551,11140,8163
ENSG00000238290,9,1,10,1,6,2
ENSG00000232848,0,0,0,0,0,0
ENSG00000229305,0,0,0,1,0,0
ENSG00000227634,0,0,0,0,0,0
ENSG00000200975,0,0,0,0,0,0
ENSG00000233645,0,0,0,0,0,0
ENSG00000251977,0,0,0,0,0,0
ENSG00000162426,446,116,421,122,473,114
ENSG00000252254,0,1,3,4,0,6
ENSG00000142599,1632,2356,1531,2121,1637,1910
ENSG00000232912,1,2,3,0,1,0
ENSG00000221083,0,0,0,1,0,0
ENSG00000270282,0,1,0,0,0,1
ENSG00000234619,1,0,2,0,0,0
ENSG00000224315,0,0,1,0,0,0
ENSG00000222511,0,2,0,1,1,0
ENSG00000226545,0,0,0,0,0,0
ENSG00000228423,1,0,0,0,0,0
ENSG00000229716,0,0,0,0,0,0
ENSG00000074800,53928,61023,55736,60079,57530,53597
ENSG00000274258,0,1,3,6,3,3
ENSG00000230679,0,3,1,5,3,0
ENSG00000201725,0,0,0,0,0,0
ENSG00000238249,0,0,2,3,2,4
ENSG00000232208,0,0,0,0,0,0
