,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
KIF20A,2048.03471122504,-2.5675067013489703,0.0752692520366864,-34.1109633997367,5.073439031332227e-255,1.912156454017929e-252
C3,11691.5391764866,2.27184472392979,0.0666270216795387,34.097948049619696,7.911214485058366e-255,2.9378527673043184e-252
PCNA,3642.82779399024,-2.27642501903429,0.0669097282551894,-34.0223324529454,1.0416491735449094e-253,3.812134047877708e-251
BIRC5,2266.0448607141,-2.6667627407697796,0.0784361817840104,-33.9991401941675,2.2939419999458687e-253,8.275231911804736e-251
H2AX,4415.2643876106395,-2.4722009492490695,0.0729350726602567,-33.8959139831804,7.652227191627016e-252,2.7216062118727484e-249
COTL1,10600.285635534101,-2.20573078043093,0.0652718050530545,-33.793010299593604,2.4982277577830488e-250,8.761839908269096e-248
PRR11,2965.5057702639197,-2.31824671785379,0.0686952501504468,-33.7468269316537,1.1900201842456691e-249,4.1164917387084374e-247
TMEM59L,909.7987621881849,4.19375515796297,0.124537124812195,33.6747388723424,1.3548148107190995e-248,4.623214000037658e-246
EPAS1,9639.519919503871,1.8075320927092,0.054015831723274,33.4630058455693,1.665032664910339e-245,5.606053980575457e-243
ELF3,961.919244320482,3.76672499806365,0.11267407435411698,33.4302723998907,4.981073457300097e-245,1.655027196628189e-242
MRC2,5264.09826184202,2.54497335293983,0.0770424489074041,33.0333911892986,2.6943201475820684e-239,8.835970437239265e-237
ZWINT,1770.22108435531,-2.80825387297638,0.0851438199267602,-32.982474540043,1.4488264661539196e-238,4.690482810681898e-236
FABP5P7,3009.2670157593498,-2.27736137581313,0.0692630570849481,-32.879885348116304,4.261671632858688e-237,1.362224456619589e-234
AMOTL2,1718.03788994405,-2.50240592234443,0.0763813113613698,-32.762018322849,2.047426909249839e-235,6.462703039047118e-233
HNRNPAB,4652.41905949994,-2.2297162931448797,0.0682443987013168,-32.6725172406254,3.838033496531298e-234,1.1965187883260294e-231
ENO2,6611.24921162168,2.5095039064245896,0.0769057691032124,32.6308927885069,1.4959430127941792e-233,4.606774751107137e-231
LRP1,6028.77503048543,2.87781169211586,0.0882568552323181,32.6072312971112,3.2391031080728388e-233,9.854678516271716e-231
SERINC2,1334.77674997705,3.19917488148449,0.0988183675066538,32.37429399214761,6.315505066819576e-230,1.898561118420569e-227
CTSD,3940.5772908835797,2.44392143562103,0.0761953164753691,32.0744311943511,1.0022600392513395e-225,2.9775377071970287e-223
MCM5,2747.74771303256,-2.6392663963370095,0.082344194215276,-32.0516391166214,2.082877090742509e-225,6.1159084064453265e-223
GRIN3B,1102.0609176550802,4.04693532049473,0.126522763654289,31.985827716762298,1.7167176813700292e-224,4.982822401144347e-222
HJURP,2629.7986819255802,-2.13286718606417,0.0668348387992584,-31.9125058784137,1.790851441685319e-223,5.138929614254277e-221
KRT8,18801.1708087982,-2.18053804667279,0.068338326005755,-31.9079815693637,2.0692877836344885e-223,5.871197203633487e-221
PLPPR3,920.556485642111,3.6107653333567296,0.113449934717635,31.826949414678197,2.7440819833823584e-222,7.699284249374587e-220
RHOV,762.381811851181,5.08882002295395,0.160133587193805,31.7785925621905,1.279233321247619e-221,3.5498021789170185e-219
