value,gene,X,cancer
1.0251184,LARP6,0.005022402855122221,BRCA
0.29268152,LARP6,0.007507062362590694,BRCA
0.69297975,LARP6,0.005022402855122221,BRCA
1.4365667,LARP6,0.007507062362590694,BRCA
1.8903172,LARP6,0.005022402855122221,BRCA
0.4956236,LARP6,0.007507062362590694,BRCA
1.2982281,LARP6,0.007507062362590694,BRCA
0.9135858,LARP6,0.007507062362590694,BRCA
1.0943868,LARP6,0.007507062362590694,BRCA
1.8438545,LARP6,0.007507062362590694,BRCA
1.2873087,LARP6,0.007507062362590694,BRCA
0.9220579,LARP6,0.007507062362590694,BRCA
1.3780597,LARP6,0.007507062362590694,BRCA
0.1874659,LARP6,0.007507062362590694,BRCA
0.6304512,LARP6,0.007507062362590694,BRCA
0.41548094,LARP6,0.007507062362590694,BRCA
0.76829207,LARP6,0.007507062362590694,BRCA
0.17768572,LARP6,0.007507062362590694,BRCA
0.79879445,LARP6,0.007507062362590694,BRCA
2.0580473,LARP6,0.007507062362590694,BRCA
0.6231088,LARP6,0.007507062362590694,BRCA
1.5390866,LARP6,0.007507062362590694,BRCA
0.9521023,LARP6,0.007507062362590694,BRCA
1.3102428,LARP6,0.007507062362590694,BRCA
0.18883374,LARP6,0.007507062362590694,BRCA
0.74119234,LARP6,0.007507062362590694,BRCA
1.0332514,LARP6,0.007507062362590694,BRCA
1.6001232,LARP6,0.007507062362590694,BRCA
0.7892256,LARP6,0.007507062362590694,BRCA
0.40952602,LARP6,0.007507062362590694,BRCA
1.3855411,LARP6,0.007507062362590694,BRCA
0.93351483,LARP6,0.007507062362590694,BRCA
0.57546186,LARP6,0.007507062362590694,BRCA
0.47395682,LARP6,0.007507062362590694,BRCA
0.91877025,LARP6,0.007507062362590694,BRCA
1.7497536,LARP6,0.007507062362590694,BRCA
0.9771221,LARP6,0.007507062362590694,BRCA
0.29161602,LARP6,0.007507062362590694,BRCA
1.8030145,LARP6,0.007507062362590694,BRCA
0.49794438,LARP6,0.007507062362590694,BRCA
1.2479976,LARP6,0.007507062362590694,BRCA
2.7402134,LARP6,0.007507062362590694,BRCA
0.33420965,LARP6,0.007507062362590694,BRCA
0.9521023,LARP6,0.007507062362590694,BRCA
1.4922032,LARP6,0.007507062362590694,BRCA
0.8322091,LARP6,0.007507062362590694,BRCA
1.2409258,LARP6,0.007507062362590694,BRCA
0.29349306,LARP6,0.007507062362590694,BRCA
0.42161417,LARP6,0.007507062362590694,BRCA
0.5806409,LARP6,0.007507062362590694,BRCA
0.82106584,LARP6,0.007507062362590694,BRCA
0.7618424,LARP6,0.007507062362590694,BRCA
0.86630875,LARP6,0.007507062362590694,BRCA
0.3122564,LARP6,0.007507062362590694,BRCA
1.0255024,LARP6,0.007507062362590694,BRCA
1.5266858,LARP6,0.007507062362590694,BRCA
0.2663915,LARP6,0.007507062362590694,BRCA
1.3954084,LARP6,0.007507062362590694,BRCA
0.19394088,LARP6,0.007507062362590694,BRCA
0.91268784,LARP6,0.007507062362590694,BRCA
1.5252702,LARP6,0.007507062362590694,BRCA
1.7711232,LARP6,0.007507062362590694,BRCA
0.98117834,LARP6,0.007507062362590694,BRCA
0.46011937,LARP6,0.007507062362590694,BRCA
0.7526429,LARP6,0.007507062362590694,BRCA
1.3371278,LARP6,0.007507062362590694,BRCA
0.4131766,LARP6,0.007507062362590694,BRCA
0.24371453,LARP6,0.007507062362590694,BRCA
0.8361604,LARP6,0.007507062362590694,BRCA
2.3567982,LARP6,0.007507062362590694,BRCA
1.9314069,LARP6,0.007507062362590694,BRCA
1.0309134,LARP6,0.007507062362590694,BRCA
1.3670107,LARP6,0.007507062362590694,BRCA
1.0182569,LARP6,0.007507062362590694,BRCA
1.0033599,LARP6,0.007507062362590694,BRCA
0.74731237,LARP6,0.007507062362590694,BRCA
2.0481308,LARP6,0.007507062362590694,BRCA
1.4719456,LARP6,0.007507062362590694,BRCA
0.77925235,LARP6,0.007507062362590694,BRCA
0.6296266,LARP6,0.007507062362590694,BRCA
0.21328305,LARP6,0.007507062362590694,BRCA
0.5801767,LARP6,0.007507062362590694,BRCA
1.8887202,LARP6,0.007507062362590694,BRCA
1.1170366,LARP6,0.007507062362590694,BRCA
